NO,ITEMS,"DRIVER
RED","ENERGISER
YELLOW","STABILISER
GREEN","ANALYSER
BLUE",
1,Behaviour Pattern,"Self-contained
Direct",Open Direct,Open Indirect,"Self-contained
Indirect",
2,Manner,Business-like,Fashionable ,Casual,Formal,
3,Appearance,Sharp ,Stylish,Conforming,Conservative,
4,Work Space ,"Busy
Formal
Efficient
Structured","Stimulating
Personal
Cluttered
Friendly","Personal
Relaxed
Friendly
Informal","Structured
Organised
Functional
Formal",
5,Pace,"Fast, 
Decisive","Fast,
Spontaneous","Slow,
Easy","Slow,
Deliberate",
6,Priority,"Task 
Results",Interaction,Relationship-driven,"Task-focused
Process",
7,Fears,Loss of control ,Loss of prestige,Confrontation,Embarrassment,
8,Under Stress,"Dictate,
Assert","Attack,
Be Sarcastic
","Avoid,
Accept something reluctantly but without protest ","Withdraw,
Avoid",
9,Seeks,Productivity,Recognition ,Approval ,Accuracy,
10,Needs to know (benefits) ,"What it does?
By when?
What it costs?","How it will enhance own status?
Who else uses it?",How it will affect others?,"How to justify logically?
How it works?",
11,Gain security by,Control,Flexibility,Close relationships,Analysis,
12,Wants to maintain ,Success,Status,Relationships,Credibility,
13,Likes to focus more on: ,Goals,Ideas,Feelings,Thoughts,
14,Achieves acceptance by,"Leadership,
Competition","Playfulness,
Stimulating environment","Conformity,
Loyalty","Correctness,
Thoroughness",
15,Like you to be ,To the point,Stimulating ,Pleasant,Precise ,
16,Wants to be,In charge,Admired,Liked,Correct,
17,Irritated by,"Inefficient,
Indecision ","Boredom,
Routine","Insensitivity,
Impatience","Surprises,
Unpredictability",
18,Measures personal worth by,"Results,
Track record,
Measurable progress ","Acknowledgement, 
Recognition,
Compliments ","Compatibility with others.
Depth of relationships","Precision,
Accuracy, 
Commitment",
19,Decision-making,Decisive,Spontaneous ,Considered ,Deliberate,
